"belongs_to_collection","budget","genres","id","imdb_id","original_language","original_title","overview","popularity","poster_path","production_companies","production_countries","release_date","revenue","runtime","spoken_languages","status","tagline","title","video","vote_average","vote_count","Horror","Year","year","decade","bydecade","boxoffice"
"",4.5e+07,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]","3036","tt0109836","en","Frankenstein","Based on Mary Shelley's novel, ""Frankenstein"" tells the story of Victor Frankenstein, a promising young doctor who, devastated by the death of his mother during childbirth, becomes obsessed with bringing the dead back to life. His experiments lead to the creation of a monster, which Frankenstein has put together with the remains of corpses. It's not long before Frankenstein regrets his actions.",14.287753,"/uG0YLHdiBuWBv99MLwthucsvKLZ.jpg","[{'name': 'American Zoetrope', 'id': 70}, {'name': 'TriStar Pictures', 'id': 559}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1994-11-04,112006296,123,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Be Warned.  It's Alive","Mary Shelley's Frankenstein",FALSE,6.1,272,TRUE,"1994",1994,"90s","90s",157006296
"",4800000,"[{'id': 27, 'name': 'Horror'}]","56428","tt0106402","en","Beyond Bedlam","An experiment gone awry places a neurologist (Elizabeth Hurley) and a homicide detective (Craig Fairbrass) in a psychopath's (Keith Allen) nightmarish world.",0.426952,"/h7hwxnIC997ceboreSmEZo82bAw.jpg","[{'name': 'Metrodome Films', 'id': 11139}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1994-04-22,0,89,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Psychological Terror Beyond Your Wildest Nightmares","Beyond Bedlam",FALSE,4,4,TRUE,"1994",1994,"90s","90s",4800000
"",0,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}]","92769","tt0110965","en","Relative Fear","Linda and Peter Pratman's son Adam is autistic, but they still love him and hope that he'll at least start talking some day. However he's teased and abused by the kids of the neighborhood and his grandpa . When several people around Adam die an unexpected death, his parents start to suspect Adam - is he just simulating to be so ignorant about his environment?",0.499601,"/l9mzb7eJ1SOLEwcmLHBa27YtiXR.jpg","[{'name': 'Allegro Films', 'id': 4899}, {'name': 'Norstar Entertainment', 'id': 16953}, {'name': 'west wind entertainment', 'id': 24946}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",1995-10-03,0,90,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Trusting your children can be deadly.","Relative Fear",FALSE,4.7,3,TRUE,"1995",1995,"90s","90s",0
"{'id': 115142, 'name': 'Tales from the Crypt Collection', 'poster_path': '/mjP1Ktqz3VCyX2akRAIjgxaALwx.jpg', 'backdrop_path': '/o9Nll2BovcZ9EDmBBMmnHx99wP4.jpg'}",0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]","9059","tt0114608","en","Tales from the Crypt: Demon Knight","A man on the run is hunted by a demon known as the Collector.",9.455342,"/8uD5yk0ECebJ59lhvhTBKhUojc.jpg","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Tales From The Crypt Holdings', 'id': 69626}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-01-13,0,92,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Ready for your deadtime story?","Tales from the Crypt: Demon Knight",FALSE,6.7,96,TRUE,"1995",1995,"90s","90s",0
"",6e+06,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","25066","tt0114609","en","Tales from the Hood","A strange funeral director tells four strange tales of horror with an African American focus to three drug dealers he traps in his place of business.",2.86007,"/3OrapxFNr12AhRxupQ8Z2jP1D13.jpg","[{'name': '40 Acres & A Mule Filmworks', 'id': 4319}, {'name': 'Savoy Pictures', 'id': 11308}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-05-24,1.2e+07,98,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Chill or be Chilled","Tales from the Hood",FALSE,5.4,33,TRUE,"1995",1995,"90s","90s",1.8e+07
"",0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","12122","tt0114852","en","Village of the Damned","An American village is visited by some unknown life form which leaves the women of the village pregnant. Nine months later, the babies are born, and they all look normal, but it doesn't take the ""parents"" long to realize that the kids are not human or humane.",6.529879,"/iwmI6kZWPJ9TYC4PJ0fi80TNFx5.jpg","[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-04-28,0,99,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Beware the Children","Village of the Damned",FALSE,5.6,165,TRUE,"1995",1995,"90s","90s",0
"{'id': 8581, 'name': 'A Nightmare on Elm Street Collection', 'poster_path': '/BcgmrOz69AUBRukw5LLGeYsOgo.jpg', 'backdrop_path': '/xDScJToK3YDTZmxNqQ0hFTObeXq.jpg'}",1.4e+07,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 14, 'name': 'Fantasy'}]","11596","tt0111686","en","New Nightmare","Freddy's back … and he's badder than ever! Nancy, the historical nemesis of the man with the satanic snarl and pitchfork fingers, discovers that a new monstrous demon has taken on Freddy's persona. Can Nancy stop this new threat in time to save her son?",9.860522,"/oLEZibnraixTE68rTaYv4FEmvYd.jpg","[{'name': 'New Line Cinema', 'id': 12}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1994-10-13,18090181,112,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","One, Two, Freddy's coming for you...","New Nightmare",FALSE,6.4,297,TRUE,"1994",1994,"90s","90s",32090181
"{'id': 439409, 'name': 'Fear Collection', 'poster_path': None, 'backdrop_path': None}",0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","75555","tt0113043","en","The Fear","A weekend of 'fear therapy' turns into a nightmare of terror when a mannequin comes to life. Only those with the courage to confront their demons will survive.",0.268043,"/4ZapAkyJSLfT3rS6W8ozSM7Ozq8.jpg","[{'name': 'A-Pix Entertainment', 'id': 14280}, {'name': 'Devin Entertainment', 'id': 37300}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-01-20,0,98,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","He's whatever scares you the most","The Fear",FALSE,3.4,7,TRUE,"1995",1995,"90s","90s",0
"",8e+06,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","2654","tt0113409","en","In the Mouth of Madness","With the disappearance of hack horror writer Sutter Cane, all Hell is breaking loose...literally! Author Cane, it seems, has a knack for description that really brings his evil creepy-crawlies to life. Insurance investigator John Trent is sent to investigate Cane's mysterious vanishing act and ends up in the sleepy little East Coast town of Hobb's End.",8.497643,"/xgrCUFFimv5gom3X01KpLIPVt1E.jpg","[{'name': 'New Line Cinema', 'id': 12}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1994-12-12,8946600,95,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Lived Any Good Books Lately?","In the Mouth of Madness",FALSE,7.1,307,TRUE,"1994",1994,"90s","90s",16946600
"",1.3e+07,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","4722","tt0106452","en","Body Snatchers","When Environmental Protection Agency inspector Steve Malone travels to a remote military base in order to check for toxic materials, he brings his family along for the ride. After arriving at the base, his teenage daughter Marti befriends Jean Platt, daughter of the base's commander, General Platt. When people at the base begin acting strangely, Marti becomes convinced that they are slowly being replaced by plant-like aliens.",6.559693,"/4GLnErLrLfban9JDCOsxB9Xeegq.jpg","[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Dorset Productions', 'id': 10098}, {'name': 'Robert H. Solo Productions', 'id': 10099}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1993-06-09,428868,87,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Imagine... you're gone and someone else is living inside your body.","Body Snatchers",FALSE,5.8,102,TRUE,"1993",1993,"90s","90s",13428868
"",0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","25557","tt0111003","en","The Puppet Masters","The Earth is invaded by alien parasites aka ""slugs"" that ride on people's backs and control their minds. A trio of American government agents attempt to thwart this.",7.272296,"/tlcrpwjZZdlgArmZiXtr4ecgQfy.jpg","[{'name': 'Hollywood Pictures', 'id': 915}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1994-10-21,8638072,109,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Trust No One","The Puppet Masters",FALSE,5.6,41,TRUE,"1994",1994,"90s","90s",8638072
"",1.3e+07,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","11592","tt0111127","en","Serial Mom","A picture perfect middle class family is shocked when they find out that one of their neighbors is receiving obscene phone calls. The mom takes slights against her family very personally, and it turns out she is indeed the one harassing the neighbor. As other slights befall her beloved family, the body count begins to increase.",5.305311,"/rH1TpgzOuZcjf6SpNTVMLs9GZUm.jpg","[{'name': 'Savoy Pictures', 'id': 11308}, {'name': 'Polar Entertainment', 'id': 17411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1994-04-13,7820688,95,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Every Mom Wants to Be Wanted, But Not For Murder One!","Serial Mom",FALSE,6.4,137,TRUE,"1994",1994,"90s","90s",20820688
"",0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","11655","tt0104029","en","Cronos","Faced with his own mortality, an ingenious alchemist tried to perfect an invention that would provide him with the key to eternal life. It was called the Cronos device. When he died more than 400 years later, he took the secrets of this remarkable device to the grave with him. Now, an elderly antiques dealer has found the hellish machine hidden in a statue and learns about its incredible powers. The more he uses the device, the younger he becomes...but nothing comes without a price. Life after death is just the beginning as this nerve-shattering thriller unfolds and the fountain of youth turns bloody.",5.513024,"/6ZgqGgguuKU0Ba2aQOjzikbwnNQ.jpg","[{'name': 'CNCAIMC', 'id': 6566}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",1993-09-12,0,94,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]","Released","","Cronos",FALSE,6.4,153,TRUE,"1993",1993,"90s","90s",0
"{'id': 98580, 'name': 'Candyman Collection', 'poster_path': '/7yGuKyI0YOBZcOcfwP90WkAbwgD.jpg', 'backdrop_path': '/hJjCx4njVdHJobhvr84e5J6MgTw.jpg'}",0,"[{'id': 27, 'name': 'Horror'}]","10824","tt0112625","en","Candyman: Farewell to the Flesh","The Candyman moves on to New Orleans and starts his horrific murders once more. This time, his intended victim is a school teacher. Her father was killed by the Candyman, and brother wrongly accused of the murders.",4.983552,"/yYIMENwSbHM6mt3pSkoAV5RqSHR.jpg","[{'name': 'Propaganda Films', 'id': 278}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-03-17,13940383,93,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Evil comes when you call his name.","Candyman: Farewell to the Flesh",FALSE,5,64,TRUE,"1995",1995,"90s","90s",13940383
"{'id': 8917, 'name': 'Hellraiser Collection', 'poster_path': '/lIK0UgJsA18Z5I1PwpucXzgyF3A.jpg', 'backdrop_path': '/uaEUgCqB6lGkvM4Wy5blNwLJdfa.jpg'}",4e+06,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]","8766","tt0116514","en","Hellraiser: Bloodline","In the 22nd century, a scientist attempts to right the wrong his ancestor created: the puzzle box that opens the gates of Hell and unleashes Pinhead and his Cenobite legions",5.263187,"/gw8wzitvvPUX7pK6a56KPDbxFqB.jpg","[{'name': 'Miramax Films', 'id': 14}, {'name': 'Dimension Films', 'id': 7405}, {'name': 'Trans Atlantic Entertainment', 'id': 15343}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-03-08,16675000,86,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","This year, the past, the present and the future will all meet at the crossroads of hell.","Hellraiser: Bloodline",FALSE,4.9,111,TRUE,"1996",1996,"90s","90s",20675000
"",0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","10988","tt0116095","en","Diabolique","The wife and mistress of a cruel school master collaborate in a carefully planned and executed attempt to murder him. The plan goes well until the body, which has been strategically dumped, disappears. The strain starts to tell on the two women as a retired police investigator who is looking into the disappearance on a whim begins to think that they know more than they are telling, and their mental state is not helped when their victim is seen, apparently alive and well by one of the pupils.",4.530079,"/woBHA1Obn53zziO6h0N9340SGMv.jpg","[{'name': 'Marvin Worth Productions', 'id': 976}, {'name': 'ABC Productions', 'id': 3668}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Morgan Creek Productions', 'id': 10210}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-03-22,0,107,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Two women. One man. The combination can be murder.","Diabolique",FALSE,5.4,74,TRUE,"1996",1996,"90s","90s",0
"",0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","54285","tt0112257","ko","삼공일 삼공이","Two obsessive-compulsives, a chef and an anorexic writer, are neighbors in an apartment building. The chef (301) tries to entice her neighbor to eat with fabulous meals. The writer (302) refuses to eat, and this refusal begins a turbulent relationship that forces both women to delve into their pasts of torment.",0.396626,"/jQ2ZukcQMpVytK2uZHQs6az07ed.jpg","[{'name': 'Park Chul-Soo Films Ltd.', 'id': 6636}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",1995-04-22,0,100,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]","Released","Two apartments. Two women. One shocking mystery.","301, 302",FALSE,6.2,10,TRUE,"1995",1995,"90s","90s",0
"",0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","187851","tt0140614","en","They Bite","Aliens who've come to earth to spawn deep beneath the ocean begin terrorizing a Florida beach community. An ichthyologist and a young filmmaker team up to uncover the mystery of these monsters from the deep--before they strike again.",0.466991,"/2r3ST0wtPkAPSeFBA0gJ0Fed1ST.jpg","[]","[]",1996-01-01,0,98,"[]","Released","They live ... They suck ... They Bite","They Bite",FALSE,5.5,1,TRUE,"1996",1996,"90s","90s",0
"",0,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","83857","tt0081759","en","Windows","Shire is the subject of a perverse obsession by a Lesbian neighbor, Andrea, who not only is in lust with her but hires a rapist in order to get audio tapes of her moaning. Ashley turns pepping tom and watches Shire with a telescope as she begins an affair with Det. Cortese.",0.400023,"/1JaMXfXuVfkt3QMATaZE1jblaKk.jpg","[{'name': 'Mike Lobell Productions', 'id': 52599}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1980-01-18,0,96,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","","Windows",FALSE,5.8,9,TRUE,"1980",1980,"80s","80s",0
"",1.5e+07,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","9100","tt0115963","en","The Craft","A Catholic school newcomer falls in with a clique of teen witches who wield their powers against all who dare to cross them -- be they teachers, rivals or meddlesome parents.",12.860385,"/5QoAIazIjidUcnD4Vggvmvg42NW.jpg","[{'name': 'Columbia Pictures', 'id': 5}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-05-03,24769466,101,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Welcome to the witching hour.","The Craft",FALSE,6.3,388,TRUE,"1996",1996,"90s","90s",39769466
